date,ticker,model_prob,market_prob,outcome,disagreement
2024-09-13,HIGHAUS-24SEP13-T100,0.43566925356574515,0.18,0,0.25566925356574516
2024-09-13,HIGHAUS-24SEP13-T93,0.5061567990152049,0.025,0,0.4811567990152049
2024-09-13,HIGHAUS-24SEP13-B93.5,0.014604630153641662,0.02,0,-0.005395369846358338
2024-09-13,HIGHAUS-24SEP13-B95.5,0.014576805907603907,0.065,0,-0.050423194092396095
2024-09-14,HIGHAUS-24SEP14-T102,0.45308155226532953,0.03,0,0.4230815522653295
2024-09-14,HIGHAUS-24SEP14-B101.5,0.01454070731495094,0.145,0,-0.13045929268504905
2024-09-14,HIGHAUS-24SEP14-B95.5,0.01461216937299148,0.155,0,-0.14038783062700852
2024-09-14,HIGHAUS-24SEP14-B97.5,0.014607896028561385,0.615,1,-0.6003921039714386
2024-09-14,HIGHAUS-24SEP14-B99.5,0.01458404338210395,0.675,0,-0.6604159566178961
2024-09-15,HIGHAUS-24SEP15-T96,0.5058365681566382,0.025,0,0.4808365681566382
2024-09-15,HIGHAUS-24SEP15-B96.5,0.014605021098417548,0.175,0,-0.16039497890158244
2024-09-15,HIGHAUS-24SEP15-B98.5,0.014577624741046291,0.475,1,-0.4604223752589537
2024-09-15,HIGHAUS-24SEP15-B100.5,0.014530770746371657,0.49,0,-0.47546922925362833
2024-09-15,HIGHAUS-24SEP15-B102.5,0.014464647095090766,0.09,0,-0.07553535290490923
2024-09-15,HIGHAUS-24SEP15-T103,0.4359853681624355,0.065,0,0.3709853681624355
2024-09-16,HIGHAUS-24SEP16-T100,0.46134877017448117,0.06,0,0.4013487701744812
2024-09-16,HIGHAUS-24SEP16-B99.5,0.014567746201702203,0.105,0,-0.0904322537982978
2024-09-16,HIGHAUS-24SEP16-B97.5,0.014600012540357477,0.575,1,-0.5603999874596425
2024-09-16,HIGHAUS-24SEP16-T93,0.48026488854075505,0.005,0,0.47526488854075505
2024-09-16,HIGHAUS-24SEP16-B93.5,0.014605851264622272,0.01,0,0.004605851264622271
2024-09-16,HIGHAUS-24SEP16-B95.5,0.014612731278081825,0.215,0,-0.20038726872191817
2024-09-17,HIGHAUS-24SEP17-B93.5,0.014585141024910597,0.03,0,-0.015414858975089402
2024-09-17,HIGHAUS-24SEP17-B95.5,0.014608349305675339,0.115,0,-0.10039165069432467
2024-09-17,HIGHAUS-24SEP17-B97.5,0.014611976461347154,0.61,1,-0.5953880235386528
2024-09-17,HIGHAUS-24SEP17-B99.5,0.014596007902268782,0.28,0,-0.26540399209773125
2024-09-17,HIGHAUS-24SEP17-T100,0.47349606342330874,0.055,0,0.41849606342330875
2024-09-18,HIGHAUS-24SEP18-T101,0.4542994387068926,0.165,0,0.28929943870689256
2024-09-18,HIGHAUS-24SEP18-B98.5,0.01458679536405827,0.515,1,-0.5004132046359417
2024-09-18,HIGHAUS-24SEP18-B100.5,0.014545088431921482,0.085,0,-0.07045491156807852
2024-09-18,HIGHAUS-24SEP18-T94,0.4873480331790847,0.03,0,0.4573480331790847
2024-09-18,HIGHAUS-24SEP18-B96.5,0.014609007818592756,0.38,0,-0.36539099218140725
2024-09-18,HIGHAUS-24SEP18-B94.5,0.014611636499450187,0.06,0,-0.04538836350054981
2024-09-19,HIGHAUS-24SEP19-B96.5,0.014609139922197978,0.09,0,-0.07539086007780202
2024-09-19,HIGHAUS-24SEP19-B98.5,0.01461155848056761,0.695,1,-0.6803884415194323
2024-09-19,HIGHAUS-24SEP19-B100.5,0.014594383005571476,0.455,0,-0.44040561699442854
2024-09-19,HIGHAUS-24SEP19-T101,0.4725970806040013,0.065,0,0.4075970806040013
2024-09-20,HIGHAUS-24SEP20-B100.5,0.014612882438647445,0.36,1,-0.34538711756135254
2024-09-20,HIGHAUS-24SEP20-B98.5,0.014604696272612905,0.58,0,-0.5653953037273871
2024-09-20,HIGHAUS-24SEP20-T101,0.4914902942041893,0.06,0,0.43149029420418933
2024-09-20,HIGHAUS-24SEP20-B94.5,0.01452973617104042,0.025,0,-0.010470263828959582
2024-09-20,HIGHAUS-24SEP20-B96.5,0.014576943672790443,0.075,0,-0.060423056327209554
2024-09-21,HIGHAUS-24SEP21-T92,0.4394952060931651,0.025,0,0.4144952060931651
2024-09-21,HIGHAUS-24SEP21-B92.5,0.014482484523326733,0.03,0,-0.015517515476673266
2024-09-21,HIGHAUS-24SEP21-B94.5,0.014543944378552498,0.09,0,-0.0754560556214475
2024-09-21,HIGHAUS-24SEP21-B96.5,0.014586081764731529,0.47,1,-0.45541391823526844
2024-09-21,HIGHAUS-24SEP21-B98.5,0.014608727540539712,0.315,0,-0.3003912724594603
2024-09-21,HIGHAUS-24SEP21-T99,0.5022835556996844,0.16,0,0.3422835556996844
2024-09-22,HIGHAUS-24SEP22-B93.5,0.014566861630268435,0.15,0,-0.13543313836973156
2024-09-22,HIGHAUS-24SEP22-B95.5,0.014599536532484414,0.49,0,-0.4754004634675156
2024-09-22,HIGHAUS-24SEP22-B97.5,0.014612665747527898,0.245,1,-0.2303873342524721
2024-09-22,HIGHAUS-24SEP22-T98,0.4951769905007124,0.08,0,0.4151769905007124
2024-09-23,HIGHAUS-24SEP23-B93.5,0.014584006566063512,0.22,0,-0.2054159934339365
2024-09-23,HIGHAUS-24SEP23-B91.5,0.014607880610071455,0.11,0,-0.09539211938992855
2024-09-23,HIGHAUS-24SEP23-T96,0.4530656636625664,0.24,0,0.2130656636625664
2024-09-23,HIGHAUS-24SEP23-B89.5,0.014612175414063788,0.03,0,-0.01538782458593621
2024-09-23,HIGHAUS-24SEP23-T89,0.4885896244979645,0.015,0,0.4735896244979645
2024-09-23,HIGHAUS-24SEP23-B95.5,0.014540649249270343,0.58,1,-0.5654593507507296
2024-09-24,HIGHAUS-24SEP24-T89,0.5101014085674114,0.03,0,0.48010140856741135
2024-09-24,HIGHAUS-24SEP24-B89.5,0.014599043036544912,0.05,0,-0.03540095696345509
2024-09-24,HIGHAUS-24SEP24-B91.5,0.014565952193506093,0.165,0,-0.15043404780649391
2024-09-24,HIGHAUS-24SEP24-B93.5,0.0145134505818445,0.485,0,-0.4704865494181555
2024-09-24,HIGHAUS-24SEP24-B95.5,0.014441748700543044,0.24,1,-0.22555825129945695
2024-09-24,HIGHAUS-24SEP24-T96,0.4317783969201501,0.04,0,0.3917783969201501
2024-09-25,HIGHAUS-24SEP25-B88.5,0.014571905551670206,0.06,0,-0.04542809444832979
2024-09-25,HIGHAUS-24SEP25-B90.5,0.01460219431736337,0.22,0,-0.20539780568263663
2024-09-25,HIGHAUS-24SEP25-B92.5,0.01461292670990183,0.355,0,-0.34038707329009815
2024-09-25,HIGHAUS-24SEP25-T93,0.4933890318527795,0.405,1,0.08838903185277946
