station,model,period,year,season,mean_bias,std_diff,mae_vs_knyc,correlation,ks_statistic,ks_pvalue,n_days,rolling_bias_range,rolling_bias_stability_std
KEWR,GFS,yearly,2005,all,1.1178082191780823,2.224942428305263,2.021917808219178,,,,365,,
KEWR,GFS,yearly,2006,all,1.2027397260273973,2.0184569099824663,1.8876712328767122,,,,365,,
KEWR,GFS,yearly,2007,all,1.2712328767123289,1.8753372921572566,1.83013698630137,,,,365,,
KEWR,GFS,yearly,2008,all,1.010928961748634,2.0054421055655918,1.8087431693989071,,,,366,,
KEWR,GFS,yearly,2009,all,1.0657534246575342,1.8220429285664659,1.7013698630136986,,,,365,,
KEWR,GFS,yearly,2010,all,1.2301369863013698,1.543035125577386,1.5753424657534247,,,,365,,
KEWR,GFS,yearly,2011,all,1.167123287671233,1.580100740504544,1.5506849315068494,,,,365,,
KEWR,GFS,yearly,2012,all,1.0163934426229508,1.5701859582256303,1.469945355191257,,,,366,,
KEWR,GFS,yearly,2013,all,1.1479452054794521,1.5064066104840992,1.515068493150685,,,,365,,
KEWR,GFS,yearly,2014,all,1.1561643835616437,1.5777458448450397,1.5506849315068494,,,,365,,
KEWR,GFS,yearly,2015,all,1.4986301369863013,2.0443229588492806,2.1945205479452055,,,,365,,
KEWR,GFS,yearly,2016,all,1.6229508196721312,1.5684974164849221,1.9453551912568305,,,,366,,
KEWR,GFS,yearly,2017,all,1.4383561643835616,1.878056493154493,1.9917808219178081,,,,365,,
KEWR,GFS,yearly,2018,all,1.5534246575342465,1.755844415979559,1.9808219178082191,,,,365,,
KEWR,GFS,yearly,2019,all,1.4383561643835616,1.8838986738829053,1.926027397260274,,,,365,,
KEWR,GFS,yearly,2020,all,1.2650273224043715,1.9169698904508834,1.855191256830601,,,,366,,
KEWR,GFS,yearly,2021,all,1.6054794520547946,1.8090045233907097,2.0273972602739727,,,,365,,
KEWR,GFS,yearly,2022,all,1.526027397260274,2.011643811270561,2.0684931506849313,,,,365,,
KEWR,GFS,yearly,2023,all,2.0082191780821916,1.6829586572280624,2.249315068493151,,,,365,,
KEWR,GFS,yearly,2024,all,1.6311475409836065,1.7557770929391436,1.9371584699453552,,,,366,,
KEWR,GFS,yearly,2025,all,1.6465753424657534,1.5996292660959834,1.8821917808219177,,,,365,,
KEWR,GFS,yearly,2026,all,0.8571428571428571,0.9258200997725515,1.0,,,,42,,
KEWR,GFS,seasonal,all,DJF,0.678007889546351,1.9154216853722215,1.5793885601577908,,,,2028,,
KEWR,GFS,seasonal,all,JJA,2.205533596837945,1.3499232001946748,2.2865612648221343,,,,2024,,
KEWR,GFS,seasonal,all,MAM,0.9372529644268774,1.8674609351421154,1.6200592885375493,,,,2024,,
KEWR,GFS,seasonal,all,SON,1.6453546453546453,1.6883943737528389,1.94005994005994,,,,2002,,
KEWR,NAM,overall,all,all,1.117566388230894,1.9976337278666747,1.802767734696422,0.9942234690307159,0.04251340231891285,1.0081549591907062e-06,8021,1.273972602739726,0.25777015414868487
