model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
Phase1A+1B_HGB,test,2.0956,2.7227,0.9719,2.2208,2.3515,1.9328,1.8769
Phase1A+1B_HGB,oos,2.0785,2.7856,0.9773,2.064,2.6891,1.7118,1.8465
Phase1A+1C_Ridge,train,2.306,3.0441,0.9718,2.5551,2.7391,1.9114,2.0198
Phase1A+1C_Ridge,val,2.2669,2.9861,0.9722,2.4515,2.709,1.851,2.0579
Phase1A+1C_Ridge,test,2.1217,2.7308,0.9717,2.3425,2.5143,1.8333,1.7968
Phase1A+1C_Ridge,oos,2.2077,2.8624,0.976,2.0343,2.9793,1.8714,1.9392
"Phase1A+1C_NN[32, 16]",train,2.1732,2.9086,0.9743,2.3683,2.6057,1.8287,1.8908
"Phase1A+1C_NN[32, 16]",val,2.0879,2.8105,0.9754,2.2631,2.5034,1.7412,1.845
"Phase1A+1C_NN[32, 16]",test,2.0231,2.6626,0.9731,2.188,2.4141,1.7925,1.6968
"Phase1A+1C_NN[32, 16]",oos,2.0491,2.7157,0.9784,1.9914,2.8328,1.6597,1.7076
"Phase1A+1C_NN[64, 32]",train,2.0887,2.7891,0.9763,2.263,2.4775,1.7842,1.8305
"Phase1A+1C_NN[64, 32]",val,2.0577,2.7916,0.9757,2.2548,2.4627,1.7124,1.8022
"Phase1A+1C_NN[64, 32]",test,2.0085,2.6343,0.9737,2.134,2.4019,1.8344,1.6619
"Phase1A+1C_NN[64, 32]",oos,2.0129,2.6731,0.9791,1.9392,2.7502,1.6541,1.703
Phase1A+1C_HGB,train,2.121,2.7921,0.9763,2.3027,2.4788,1.813,1.8903
Phase1A+1C_HGB,val,2.1941,2.9486,0.9729,2.4367,2.6028,1.7535,1.9866
Phase1A+1C_HGB,test,2.0511,2.6799,0.9728,2.1325,2.3671,1.9053,1.7979
Phase1A+1C_HGB,oos,2.1022,2.7958,0.9771,2.0683,2.8191,1.7128,1.8046
Phase1B+1C_Ridge,train,2.3708,3.1048,0.9707,2.6173,2.8198,1.9695,2.0778
Phase1B+1C_Ridge,val,2.3412,3.0797,0.9704,2.4896,2.8037,2.0226,2.049
Phase1B+1C_Ridge,test,2.1287,2.7638,0.971,2.3785,2.5433,1.821,1.7725
Phase1B+1C_Ridge,oos,2.2734,2.9469,0.9746,2.1821,3.0307,1.9808,1.8937
