name,ev_threshold,sizing_method,kelly_fraction,max_position_frac,total_pnl,sharpe_ratio,n_trades,win_rate,max_drawdown_pct
S0038_ev0.05_capped_kelly_kf0.25_fee0.07_mp0.05_br1000,0.05,capped_kelly,0.25,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0039_ev0.05_capped_kelly_kf0.25_fee0.07_mp0.10_br1000,0.05,capped_kelly,0.25,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0040_ev0.05_proportional_kf0.10_fee0.07_mp0.05_br1000,0.05,proportional,0.1,0.05,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0041_ev0.05_proportional_kf0.10_fee0.07_mp0.10_br1000,0.05,proportional,0.1,0.1,-50.799999999999955,-1.143048417261777,142,0.30985915492957744,-8.990753492032251
S0042_ev0.08_fractional_kelly_kf0.10_fee0.07_mp0.05_br1000,0.08,fractional_kelly,0.1,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0043_ev0.08_fractional_kelly_kf0.10_fee0.07_mp0.10_br1000,0.08,fractional_kelly,0.1,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0044_ev0.08_fractional_kelly_kf0.20_fee0.07_mp0.05_br1000,0.08,fractional_kelly,0.2,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0045_ev0.08_fractional_kelly_kf0.20_fee0.07_mp0.10_br1000,0.08,fractional_kelly,0.2,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0046_ev0.08_fractional_kelly_kf0.25_fee0.07_mp0.05_br1000,0.08,fractional_kelly,0.25,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0047_ev0.08_fractional_kelly_kf0.25_fee0.07_mp0.10_br1000,0.08,fractional_kelly,0.25,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0048_ev0.08_capped_kelly_kf0.10_fee0.07_mp0.05_br1000,0.08,capped_kelly,0.1,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0049_ev0.08_capped_kelly_kf0.10_fee0.07_mp0.10_br1000,0.08,capped_kelly,0.1,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0050_ev0.08_capped_kelly_kf0.20_fee0.07_mp0.05_br1000,0.08,capped_kelly,0.2,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0051_ev0.08_capped_kelly_kf0.20_fee0.07_mp0.10_br1000,0.08,capped_kelly,0.2,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0052_ev0.08_capped_kelly_kf0.25_fee0.07_mp0.05_br1000,0.08,capped_kelly,0.25,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0053_ev0.08_capped_kelly_kf0.25_fee0.07_mp0.10_br1000,0.08,capped_kelly,0.25,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0054_ev0.08_proportional_kf0.10_fee0.07_mp0.05_br1000,0.08,proportional,0.1,0.05,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
S0055_ev0.08_proportional_kf0.10_fee0.07_mp0.10_br1000,0.08,proportional,0.1,0.1,-51.79999999999984,-1.5797977988563408,91,0.23076923076923078,-9.274472928833013
