model,bucket_idx,bucket_label,brier_score
Climatology,43,74-76,0.03523065056880463
Climatology,44,76-78,0.019509073033668528
Climatology,45,78-80,0.034162301760949546
Climatology,46,80-82,0.0358577212029689
Climatology,47,82-84,0.037852123331335766
Climatology,48,84-86,0.03705182679461334
Climatology,49,86-88,0.05205448588156599
Climatology,50,88-90,0.02579916634876991
Climatology,51,90-92,0.02376006241632051
Climatology,52,92-94,0.011821987921463915
Climatology,53,94-96,0.0036896504782935064
Climatology,54,96-98,0.002733184752013945
Climatology,55,98-100,0.0018219700312215364
Climatology,56,100-102,0.00046749477499564713
Climatology,57,102-104,3.5927534324419744e-06
Climatology,58,104-106,1.0407534872160296e-06
Climatology,59,106-108,2.8606195224904213e-07
Climatology,60,108-110,7.909574221568161e-08
Climatology,61,Above 110,7.108837935426202e-08
Ridge (a=100.0),0,Below -10,4.6437687694963815e-07
Ridge (a=100.0),1,-10--8,0.00045483940593322677
Ridge (a=100.0),2,-8--6,1.6382183316504982e-06
Ridge (a=100.0),3,-6--4,3.989208280158753e-06
Ridge (a=100.0),4,-4--2,8.252285669453179e-06
Ridge (a=100.0),5,-2-0,0.0004712797065714352
Ridge (a=100.0),6,0-2,0.00035671957257861963
Ridge (a=100.0),7,2-4,0.0012070425122654366
Ridge (a=100.0),8,4-6,0.0013363048310497175
Ridge (a=100.0),9,6-8,9.902904012184759e-05
Ridge (a=100.0),10,8-10,0.00013863820437788772
Ridge (a=100.0),11,10-12,0.0014952215917588248
Ridge (a=100.0),12,12-14,0.0033147862004766267
Ridge (a=100.0),13,14-16,0.003933087589501527
Ridge (a=100.0),14,16-18,0.0022215122386175725
Ridge (a=100.0),15,18-20,0.0031327316928785476
Ridge (a=100.0),16,20-22,0.004778029389033946
Ridge (a=100.0),17,22-24,0.0035448445598537525
Ridge (a=100.0),18,24-26,0.007025035293785281
Ridge (a=100.0),19,26-28,0.010547882463907674
Ridge (a=100.0),20,28-30,0.009808159999913794
Ridge (a=100.0),21,30-32,0.014861730646827486
Ridge (a=100.0),22,32-34,0.032540038102489906
Ridge (a=100.0),23,34-36,0.02341108066712821
Ridge (a=100.0),24,36-38,0.024988080500321714
Ridge (a=100.0),25,38-40,0.029113257974480486
Ridge (a=100.0),26,40-42,0.015936633190500107
Ridge (a=100.0),27,42-44,0.025175960778983125
Ridge (a=100.0),28,44-46,0.024505043958290406
Ridge (a=100.0),29,46-48,0.025767120899024356
Ridge (a=100.0),30,48-50,0.024031867220636206
Ridge (a=100.0),31,50-52,0.044418852796643295
Ridge (a=100.0),32,52-54,0.025095546889716675
Ridge (a=100.0),33,54-56,0.022410528363337182
Ridge (a=100.0),34,56-58,0.02319335636929483
Ridge (a=100.0),35,58-60,0.013247291677335057
Ridge (a=100.0),36,60-62,0.018099959129369427
Ridge (a=100.0),37,62-64,0.02105939215591205
Ridge (a=100.0),38,64-66,0.020495292266796923
Ridge (a=100.0),39,66-68,0.021408267501359653
Ridge (a=100.0),40,68-70,0.037586427549679086
Ridge (a=100.0),41,70-72,0.024328915141355358
Ridge (a=100.0),42,72-74,0.02598863912079439
Ridge (a=100.0),43,74-76,0.0331584147690611
Ridge (a=100.0),44,76-78,0.019621878945098575
Ridge (a=100.0),45,78-80,0.03302765531755791
