date,ticker,event_ticker,bucket,threshold,threshold_low,threshold_high,direction,strike_type,market_prob,actual_outcome,actual_tmax,result,settlement_value,volume,bid_price,ask_price
2025-04-05,KXHIGHNY-25APR05-T53,KXHIGHNY-25APR05,Below 53F,53.0,,53.0,below,less,0.01,0,59.0,no,0,9170,0.0,0.01
2025-04-05,KXHIGHNY-25APR05-B55.5,KXHIGHNY-25APR05,55-57F,55.0,55.0,57.0,between,between,0.01,0,59.0,no,0,7799,0.0,0.01
2025-04-05,KXHIGHNY-25APR05-B57.5,KXHIGHNY-25APR05,57-59F,57.0,57.0,59.0,between,between,0.01,0,59.0,no,0,10993,0.0,0.01
2025-04-05,KXHIGHNY-25APR05-B59.5,KXHIGHNY-25APR05,59-61F,59.0,59.0,61.0,between,between,0.99,1,59.0,yes,100,15787,0.99,1.0
2025-04-05,KXHIGHNY-25APR05-T60,KXHIGHNY-25APR05,Above 60F,60.0,60.0,,above,greater,0.01,0,59.0,no,0,12922,0.0,0.01
2025-04-06,KXHIGHNY-25APR06-T53,KXHIGHNY-25APR06,Below 53F,53.0,,53.0,below,less,0.01,0,56.0,no,0,6160,0.0,0.01
2025-04-06,KXHIGHNY-25APR06-B53.5,KXHIGHNY-25APR06,53-55F,53.0,53.0,55.0,between,between,0.01,0,56.0,no,0,6673,0.0,0.01
2025-04-06,KXHIGHNY-25APR06-B55.5,KXHIGHNY-25APR06,55-57F,55.0,55.0,57.0,between,between,0.99,1,56.0,yes,100,10333,0.99,1.0
2025-04-06,KXHIGHNY-25APR06-B57.5,KXHIGHNY-25APR06,57-59F,57.0,57.0,59.0,between,between,0.01,0,56.0,no,0,6267,0.0,0.01
2025-04-06,KXHIGHNY-25APR06-B59.5,KXHIGHNY-25APR06,59-61F,59.0,59.0,61.0,between,between,0.05,0,56.0,no,0,1470,0.0,0.01
2025-04-06,KXHIGHNY-25APR06-T60,KXHIGHNY-25APR06,Above 60F,60.0,60.0,,above,greater,0.02,0,56.0,no,0,547,0.0,0.01
2025-04-07,KXHIGHNY-25APR07-T46,KXHIGHNY-25APR07,Below 46F,46.0,,46.0,below,less,0.01,0,50.0,no,0,11620,0.0,0.01
2025-04-07,KXHIGHNY-25APR07-B46.5,KXHIGHNY-25APR07,46-48F,46.0,46.0,48.0,between,between,0.01,0,50.0,no,0,8828,0.0,0.01
2025-04-07,KXHIGHNY-25APR07-B48.5,KXHIGHNY-25APR07,48-50F,48.0,48.0,50.0,between,between,0.01,0,50.0,no,0,12315,0.0,0.01
2025-04-07,KXHIGHNY-25APR07-B50.5,KXHIGHNY-25APR07,50-52F,50.0,50.0,52.0,between,between,0.99,1,50.0,yes,100,14247,0.99,1.0
2025-04-07,KXHIGHNY-25APR07-B52.5,KXHIGHNY-25APR07,52-54F,52.0,52.0,54.0,between,between,0.01,0,50.0,no,0,5002,0.0,0.01
2025-04-07,KXHIGHNY-25APR07-T53,KXHIGHNY-25APR07,Above 53F,53.0,53.0,,above,greater,0.03,0,50.0,no,0,575,0.0,0.01
2025-04-08,KXHIGHNY-25APR08-T46,KXHIGHNY-25APR08,Below 46F,46.0,,46.0,below,less,0.99,1,45.0,yes,100,21181,0.99,1.0
2025-04-08,KXHIGHNY-25APR08-B46.5,KXHIGHNY-25APR08,46-48F,46.0,46.0,48.0,between,between,0.01,0,45.0,no,0,6751,0.0,0.01
2025-04-08,KXHIGHNY-25APR08-B48.5,KXHIGHNY-25APR08,48-50F,48.0,48.0,50.0,between,between,0.02,0,45.0,no,0,2857,0.0,0.01
