date,ticker,bucket,threshold_low,threshold_high,direction,strike_type,presettlement_prob,bid_cents,ask_cents,volume,open_interest,snapshot_time_utc
2023-07-07,HIGHNY-23JUL07-T82,Below 81F,,81.0,below,less,,,,,,
2023-07-08,HIGHNY-23JUL08-T89,Above 90F,90.0,,above,greater,0.53,6,100,0,0,2023-07-08 04:00:00 UTC
2023-07-08,HIGHNY-23JUL08-B88.5,88-89F,88.0,89.0,between,between,0.26,0,52,0,391,2023-07-08 05:00:00 UTC
2023-07-08,HIGHNY-23JUL08-B86.5,86-87F,86.0,87.0,between,between,0.215,3,40,0,225,2023-07-08 05:00:00 UTC
2023-07-08,HIGHNY-23JUL08-B84.5,84-85F,84.0,85.0,between,between,0.135,0,27,0,203,2023-07-08 05:00:00 UTC
2023-07-08,HIGHNY-23JUL08-B82.5,82-83F,82.0,83.0,between,between,0.26,0,52,0,0,2023-07-08 05:00:00 UTC
2023-07-08,HIGHNY-23JUL08-T82,Below 81F,,81.0,below,less,,,,,,
2023-07-09,HIGHNY-23JUL09-T85,Above 86F,86.0,,above,greater,0.5,0,100,0,0,2023-07-09 02:00:00 UTC
2023-07-09,HIGHNY-23JUL09-B84.5,84-85F,84.0,85.0,between,between,0.26,0,52,0,0,2023-07-09 05:00:00 UTC
2023-07-09,HIGHNY-23JUL09-B82.5,82-83F,82.0,83.0,between,between,0.275,3,52,0,43,2023-07-09 04:00:00 UTC
2023-07-09,HIGHNY-23JUL09-B80.5,80-81F,80.0,81.0,between,between,0.26,0,52,0,33,2023-07-09 05:00:00 UTC
2023-07-09,HIGHNY-23JUL09-B78.5,78-79F,78.0,79.0,between,between,0.225,0,45,0,33,2023-07-09 05:00:00 UTC
2023-07-09,HIGHNY-23JUL09-T78,Below 77F,,77.0,below,less,,,,,,
2023-07-10,HIGHNY-23JUL10-T85,Above 86F,86.0,,above,greater,0.525,6,99,20,20,2023-07-10 04:00:00 UTC
2023-07-10,HIGHNY-23JUL10-B84.5,84-85F,84.0,85.0,between,between,0.33,30,36,0,521,2023-07-10 05:00:00 UTC
2023-07-10,HIGHNY-23JUL10-B82.5,82-83F,82.0,83.0,between,between,0.295,27,32,0,53,2023-07-10 05:00:00 UTC
