model,split,mae,rmse,r2,mae_DJF,mae_MAM,mae_JJA,mae_SON
E5_cv_fold3,val,2.227,2.9077,0.9707,2.2414,2.8908,1.7924,1.9809
E5_cv_fold3,test,2.1313,2.8196,0.9698,2.2663,2.6084,1.8609,1.7881
E6_combined_seed42,train,2.2375,2.9589,0.9734,2.3925,2.678,1.9005,1.9789
E6_combined_seed42,val,2.2166,2.9298,0.9732,2.2853,2.7179,1.9442,1.9171
E6_combined_seed42,test,2.0897,2.7828,0.9706,2.3327,2.5589,1.7651,1.7018
E6_combined_seed42,oos,2.1553,2.8292,0.9766,2.0336,2.9229,1.8197,1.8389
E6_combined_seed123,train,2.2511,2.9749,0.9731,2.4235,2.6915,1.9156,1.9739
E6_combined_seed123,val,2.1802,2.9103,0.9736,2.3103,2.5918,1.9573,1.8608
E6_combined_seed123,test,2.0959,2.767,0.971,2.2652,2.5538,1.8429,1.7204
E6_combined_seed123,oos,2.138,2.8027,0.977,2.0797,2.8536,1.7654,1.8488
E6_combined_seed456,train,2.2673,3.005,0.9725,2.4832,2.704,1.9007,1.9824
E6_combined_seed456,val,2.2057,2.9485,0.9729,2.374,2.6716,1.9051,1.8723
E6_combined_seed456,test,2.0492,2.7334,0.9717,2.2252,2.5259,1.7322,1.7129
E6_combined_seed456,oos,2.1439,2.8327,0.9765,2.1713,2.9172,1.7493,1.7339
E6_combined_seed789,train,2.2162,2.942,0.9737,2.3623,2.6464,1.8982,1.9577
E6_combined_seed789,val,2.1497,2.8808,0.9741,2.2802,2.5902,1.8849,1.8431
E6_combined_seed789,test,2.081,2.7633,0.971,2.334,2.4937,1.7648,1.732
E6_combined_seed789,oos,2.1195,2.8127,0.9768,2.0074,2.9736,1.7048,1.7862
E6_combined_seed2024,train,2.3056,3.0539,0.9716,2.5158,2.7527,1.9436,2.011
E6_combined_seed2024,val,2.2104,2.95,0.9729,2.3526,2.6425,1.9085,1.9382
E6_combined_seed2024,test,2.0841,2.7541,0.9712,2.2204,2.5406,1.8206,1.7533
E6_combined_seed2024,oos,2.1685,2.8589,0.9761,2.1189,2.9051,1.8166,1.8286
E6_combined_ensemble,train,2.2436,2.9722,0.9731,2.418,2.6825,1.9021,1.9721
E6_combined_ensemble,val,2.18,2.9077,0.9736,2.3051,2.6341,1.9072,1.8731
E6_combined_ensemble,test,2.064,2.7431,0.9715,2.2517,2.5275,1.7713,1.7048
E6_combined_ensemble,oos,2.1334,2.8097,0.9769,2.0657,2.9048,1.7585,1.7995
