model,total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,n_trading_days,ev_threshold,kelly_fraction,max_contracts,period
u5_regime_prob,-64.34600000000034,-6.434600000000035,270,0.35185185185185186,-1.1752046176022097,-86.35200000000054,-8.491272923939281,178,0.03,0.1,10,
u5_regime_prob,-64.34600000000034,-6.434600000000035,270,0.35185185185185186,-1.1752046176022097,-86.35200000000054,-8.491272923939281,178,0.03,0.15,10,
u5_regime_prob,-64.34600000000034,-6.434600000000035,270,0.35185185185185186,-1.1752046176022097,-86.35200000000054,-8.491272923939281,178,0.03,0.2,10,
u5_regime_prob,-64.34600000000034,-6.434600000000035,270,0.35185185185185186,-1.1752046176022097,-86.35200000000054,-8.491272923939281,178,0.03,0.25,10,
u5_regime_prob,-51.79600000000039,-5.179600000000039,240,0.3458333333333333,-1.0170784437368574,-65.41200000000049,-6.4533314391249235,178,0.04,0.1,10,
u5_regime_prob,-51.79600000000039,-5.179600000000039,240,0.3458333333333333,-1.0170784437368574,-65.41200000000049,-6.4533314391249235,178,0.04,0.15,10,
u5_regime_prob,-51.79600000000039,-5.179600000000039,240,0.3458333333333333,-1.0170784437368574,-65.41200000000049,-6.4533314391249235,178,0.04,0.2,10,
u5_regime_prob,-51.79600000000039,-5.179600000000039,240,0.3458333333333333,-1.0170784437368574,-65.41200000000049,-6.4533314391249235,178,0.04,0.25,10,
u5_regime_prob,-11.080000000000155,-1.1080000000000154,210,0.3476190476190476,-0.2417325483961775,-53.43399999999997,-5.200935962125456,178,0.05,0.1,10,
u5_regime_prob,-11.080000000000155,-1.1080000000000154,210,0.3476190476190476,-0.2417325483961775,-53.43399999999997,-5.200935962125456,178,0.05,0.15,10,
u5_regime_prob,-11.080000000000155,-1.1080000000000154,210,0.3476190476190476,-0.2417325483961775,-53.43399999999997,-5.200935962125456,178,0.05,0.2,10,
u5_regime_prob,-11.080000000000155,-1.1080000000000154,210,0.3476190476190476,-0.2417325483961775,-53.43399999999997,-5.200935962125456,178,0.05,0.25,10,
u6_ensemble_prob,-201.41200000000072,-20.141200000000072,357,0.36134453781512604,-3.7143494678180162,-221.9860000000008,-21.947650563457504,178,0.02,0.1,10,
u6_ensemble_prob,-201.41200000000072,-20.141200000000072,357,0.36134453781512604,-3.7143494678180162,-221.9860000000008,-21.947650563457504,178,0.02,0.15,10,
u6_ensemble_prob,-201.41200000000072,-20.141200000000072,357,0.36134453781512604,-3.7143494678180162,-221.9860000000008,-21.947650563457504,178,0.02,0.2,10,
u6_ensemble_prob,-201.41200000000072,-20.141200000000072,357,0.36134453781512604,-3.7143494678180162,-221.9860000000008,-21.947650563457504,178,0.02,0.25,10,
u6_ensemble_prob,-170.97800000000052,-17.097800000000053,305,0.39344262295081966,-3.31460220875305,-185.64000000000055,-18.35119949070583,178,0.03,0.1,10,
u6_ensemble_prob,-170.97800000000052,-17.097800000000053,305,0.39344262295081966,-3.31460220875305,-185.64000000000055,-18.35119949070583,178,0.03,0.15,10,
