total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,ev_threshold,kelly_fraction,max_contracts
-13.46555292412711,-1.346555292412711,294,0.6156462585034014,-2.1254562212913983,-26.31656457892268,-2.5982661098325495,0.02,0.15,5
-26.93110584825206,-2.693110584825206,294,0.6156462585034014,-2.1254562212913983,-52.63312915784411,-5.131424913057583,0.02,0.15,10
-40.396658772379965,-4.039665877237997,294,0.6156462585034014,-2.125456221291389,-78.94969373676724,-7.601893314911404,0.02,0.15,15
-13.46555292412711,-1.346555292412711,294,0.6156462585034014,-2.1254562212913983,-26.31656457892268,-2.5982661098325495,0.02,0.2,5
-26.93110584825206,-2.693110584825206,294,0.6156462585034014,-2.1254562212913983,-52.63312915784411,-5.131424913057583,0.02,0.2,10
-40.396658772379965,-4.039665877237997,294,0.6156462585034014,-2.125456221291389,-78.94969373676724,-7.601893314911404,0.02,0.2,15
-13.46555292412711,-1.346555292412711,294,0.6156462585034014,-2.1254562212913983,-26.31656457892268,-2.5982661098325495,0.02,0.25,5
-26.93110584825206,-2.693110584825206,294,0.6156462585034014,-2.1254562212913983,-52.63312915784411,-5.131424913057583,0.02,0.25,10
-40.396658772379965,-4.039665877237997,294,0.6156462585034014,-2.125456221291389,-78.94969373676724,-7.601893314911404,0.02,0.25,15
-13.46555292412711,-1.346555292412711,294,0.6156462585034014,-2.1254562212913983,-26.31656457892268,-2.5982661098325495,0.02,0.35,5
-26.93110584825206,-2.693110584825206,294,0.6156462585034014,-2.1254562212913983,-52.63312915784411,-5.131424913057583,0.02,0.35,10
-40.396658772379965,-4.039665877237997,294,0.6156462585034014,-2.125456221291389,-78.94969373676724,-7.601893314911404,0.02,0.35,15
-15.502815533256808,-1.5502815533256809,251,0.5537848605577689,-2.693028755076883,-26.788731050689194,-2.648976974724554,0.03,0.1,5
-31.00563106651157,-3.100563106651157,251,0.5537848605577689,-2.693028755076883,-53.57746210137691,-5.239481518589783,0.03,0.1,10
-46.508446599768604,-4.65084465997686,251,0.5537848605577689,-2.6930287550768752,-80.36619315206644,-7.773428541796114,0.03,0.1,15
-15.502815533256808,-1.5502815533256809,251,0.5537848605577689,-2.693028755076883,-26.788731050689194,-2.648976974724554,0.03,0.15,5
-31.00563106651157,-3.100563106651157,251,0.5537848605577689,-2.693028755076883,-53.57746210137691,-5.239481518589783,0.03,0.15,10
-46.508446599768604,-4.65084465997686,251,0.5537848605577689,-2.6930287550768752,-80.36619315206644,-7.773428541796114,0.03,0.15,15
-15.502815533256808,-1.5502815533256809,251,0.5537848605577689,-2.693028755076883,-26.788731050689194,-2.648976974724554,0.03,0.2,5
-31.00563106651157,-3.100563106651157,251,0.5537848605577689,-2.693028755076883,-53.57746210137691,-5.239481518589783,0.03,0.2,10
-46.508446599768604,-4.65084465997686,251,0.5537848605577689,-2.6930287550768752,-80.36619315206644,-7.773428541796114,0.03,0.2,15
-15.502815533256808,-1.5502815533256809,251,0.5537848605577689,-2.693028755076883,-26.788731050689194,-2.648976974724554,0.03,0.25,5
-31.00563106651157,-3.100563106651157,251,0.5537848605577689,-2.693028755076883,-53.57746210137691,-5.239481518589783,0.03,0.25,10
-46.508446599768604,-4.65084465997686,251,0.5537848605577689,-2.6930287550768752,-80.36619315206644,-7.773428541796114,0.03,0.25,15
-15.502815533256808,-1.5502815533256809,251,0.5537848605577689,-2.693028755076883,-26.788731050689194,-2.648976974724554,0.03,0.35,5
-31.00563106651157,-3.100563106651157,251,0.5537848605577689,-2.693028755076883,-53.57746210137691,-5.239481518589783,0.03,0.35,10
-46.508446599768604,-4.65084465997686,251,0.5537848605577689,-2.6930287550768752,-80.36619315206644,-7.773428541796114,0.03,0.35,15
-20.098945254906766,-2.0098945254906764,230,0.5130434782608696,-3.493501071757655,-30.580772677702953,-3.0263555313704456,0.04,0.1,5
-40.197890509811714,-4.019789050981172,230,0.5130434782608696,-3.493501071757655,-61.16154535540477,-5.9905702877008515,0.04,0.1,10
-60.296835764718935,-6.029683576471894,230,0.5130434782608696,-3.4935010717576502,-91.7423180331084,-8.89453874298287,0.04,0.1,15
-20.098945254906766,-2.0098945254906764,230,0.5130434782608696,-3.493501071757655,-30.580772677702953,-3.0263555313704456,0.04,0.15,5
-40.197890509811714,-4.019789050981172,230,0.5130434782608696,-3.493501071757655,-61.16154535540477,-5.9905702877008515,0.04,0.15,10
-60.296835764718935,-6.029683576471894,230,0.5130434782608696,-3.4935010717576502,-91.7423180331084,-8.89453874298287,0.04,0.15,15
-20.098945254906766,-2.0098945254906764,230,0.5130434782608696,-3.493501071757655,-30.580772677702953,-3.0263555313704456,0.04,0.2,5
