model,total_pnl,return_pct,n_trades,win_rate,sharpe_ratio,max_drawdown,max_drawdown_pct,n_trading_days,ev_threshold,kelly_fraction,max_contracts,period
u3_mlp_prob,-198.92080000000033,-19.892080000000032,398,0.4045226130653266,-1.7762526859077545,-229.51080000000047,-22.639068359864396,409,0.02,0.1,10,
u3_mlp_prob,-195.52200000000016,-19.552200000000017,398,0.4045226130653266,-1.7391570656661934,-226.1120000000003,-22.303808905662194,409,0.02,0.15,10,
u3_mlp_prob,-195.52200000000016,-19.552200000000017,398,0.4045226130653266,-1.7391570656661934,-226.1120000000003,-22.303808905662194,409,0.02,0.2,10,
u3_mlp_prob,-195.52200000000016,-19.552200000000017,398,0.4045226130653266,-1.7391570656661934,-226.1120000000003,-22.303808905662194,409,0.02,0.25,10,
u3_mlp_prob,-152.1460000000004,-15.214600000000042,338,0.4171597633136095,-1.4194925661500828,-185.67400000000055,-18.31498290559514,409,0.03,0.1,10,
u3_mlp_prob,-152.1460000000004,-15.214600000000042,338,0.4171597633136095,-1.4194925661500828,-185.67400000000055,-18.31498290559514,409,0.03,0.15,10,
u3_mlp_prob,-152.1460000000004,-15.214600000000042,338,0.4171597633136095,-1.4194925661500828,-185.67400000000055,-18.31498290559514,409,0.03,0.2,10,
u3_mlp_prob,-152.1460000000004,-15.214600000000042,338,0.4171597633136095,-1.4194925661500828,-185.67400000000055,-18.31498290559514,409,0.03,0.25,10,
u3_mlp_prob,-189.7579999999998,-18.975799999999982,282,0.3971631205673759,-1.9052033795143086,-216.24799999999993,-21.255841110012398,409,0.04,0.1,10,
u3_mlp_prob,-189.7579999999998,-18.975799999999982,282,0.3971631205673759,-1.9052033795143086,-216.24799999999993,-21.255841110012398,409,0.04,0.15,10,
u3_mlp_prob,-189.7579999999998,-18.975799999999982,282,0.3971631205673759,-1.9052033795143086,-216.24799999999993,-21.255841110012398,409,0.04,0.2,10,
u3_mlp_prob,-189.7579999999998,-18.975799999999982,282,0.3971631205673759,-1.9052033795143086,-216.24799999999993,-21.255841110012398,409,0.04,0.25,10,
u3_mlp_prob,-182.4000000000001,-18.24000000000001,245,0.3877551020408163,-1.969064546216214,-201.44200000000023,-19.800502871162383,409,0.05,0.1,10,
u3_mlp_prob,-182.4000000000001,-18.24000000000001,245,0.3877551020408163,-1.969064546216214,-201.44200000000023,-19.800502871162383,409,0.05,0.15,10,
u3_mlp_prob,-182.4000000000001,-18.24000000000001,245,0.3877551020408163,-1.969064546216214,-201.44200000000023,-19.800502871162383,409,0.05,0.2,10,
u3_mlp_prob,-182.4000000000001,-18.24000000000001,245,0.3877551020408163,-1.969064546216214,-201.44200000000023,-19.800502871162383,409,0.05,0.25,10,
u4_platt_prob,-210.64380000000062,-21.064380000000064,343,0.46938775510204084,-1.9136116205627445,-231.92060000000038,-22.788028258968527,409,0.02,0.1,10,
u4_platt_prob,-210.71800000000042,-21.07180000000004,343,0.46938775510204084,-1.9044945303169378,-233.77200000000016,-22.96994291216729,409,0.02,0.15,10,
u4_platt_prob,-210.71800000000042,-21.07180000000004,343,0.46938775510204084,-1.9044945303169378,-233.77200000000016,-22.96994291216729,409,0.02,0.2,10,
u4_platt_prob,-210.71800000000042,-21.07180000000004,343,0.46938775510204084,-1.9044945303169378,-233.77200000000016,-22.96994291216729,409,0.02,0.25,10,
u4_platt_prob,-176.95800000000054,-17.69580000000005,290,0.46206896551724136,-1.7187512767884692,-197.2140000000005,-19.37783105538802,409,0.03,0.1,10,
u4_platt_prob,-176.95800000000054,-17.69580000000005,290,0.46206896551724136,-1.7187512767884692,-197.2140000000005,-19.37783105538802,409,0.03,0.15,10,
u4_platt_prob,-176.95800000000054,-17.69580000000005,290,0.46206896551724136,-1.7187512767884692,-197.2140000000005,-19.37783105538802,409,0.03,0.2,10,
u4_platt_prob,-176.95800000000054,-17.69580000000005,290,0.46206896551724136,-1.7187512767884692,-197.2140000000005,-19.37783105538802,409,0.03,0.25,10,
u4_platt_prob,-184.1560000000003,-18.41560000000003,246,0.42276422764227645,-1.9193889385660339,-201.8860000000003,-19.836891906497826,409,0.04,0.1,10,
u4_platt_prob,-184.1560000000003,-18.41560000000003,246,0.42276422764227645,-1.9193889385660339,-201.8860000000003,-19.836891906497826,409,0.04,0.15,10,
u4_platt_prob,-184.1560000000003,-18.41560000000003,246,0.42276422764227645,-1.9193889385660339,-201.8860000000003,-19.836891906497826,409,0.04,0.2,10,
u4_platt_prob,-184.1560000000003,-18.41560000000003,246,0.42276422764227645,-1.9193889385660339,-201.8860000000003,-19.836891906497826,409,0.04,0.25,10,
